time	playerXPos	playerZPos	playerAngle	door1Angle	door2Angle	door3Angle	printTimeEntered	printTimeExited	AngleDifference	TimeUntilHit
5.43	0	-2	90.0000010505524	201.6106	321.6106	81.6106	0	exit undefined	111.610594652573	5.07320884784421
5.53	0	-2	90.0000010505524	199.3812	319.3812	79.38123	0	exit undefined	109.381239794174	4.97187453609882
5.63	0	-2	90.0000010505524	197.1442	317.1442	77.14417	0	exit undefined	107.14416398851	4.870189272205
5.74	0	-2	90.0000010505524	194.8298	314.8298	74.82977	0	exit undefined	104.829756639877	4.76498893817624
5.85	0	-2	90.0000010505524	192.5045	312.5045	72.50452	0	exit undefined	102.504500292221	4.65929546782823
5.95	0	-2	90.0000010505524	190.1941	310.1941	70.19409	0	exit undefined	100.194106005112	4.55427754568689
6.06	0	-2	90.0000010505524	187.897	307.897	67.89703	0	exit undefined	97.8970478996429	4.44986581362013
6.16	0	-2	90.0000010505524	185.5379	305.5379	65.53787	0	exit undefined	95.5378712639007	4.34263051199549
6.26	0	-2	90.0000010505524	183.33	303.33	63.32996	0	exit undefined	93.3299550041351	4.24227068200614
6.37	0	-2	90.0000010505524	181.0198	301.0198	61.01984	0	exit undefined	91.0198353752288	4.13726524432858
6.47	0	-2	90.0000010505524	178.7249	298.7249	58.72488	0	exit undefined	88.7248829826507	4.03294922648412
6.57	0	-2	90.0000010505524	176.5182	296.5182	56.51825	0	exit undefined	86.5182332023773	3.93264696374442
6.68	0	-2	90.0000010505524	174.228	294.228	54.22797	0	exit undefined	84.2279499992523	3.82854318178419
6.78	0	-2	90.0000010505524	171.9979	291.9979	51.99786	0	exit undefined	81.9978627189788	3.7271755781354
6.88	0	-2	90.0000010505524	169.7627	289.7628	49.76276	0	exit undefined	79.7627400383148	3.62557909265067
6.98	0	-2	90.0000010505524	167.4631	287.4631	47.46313	0	exit undefined	77.4631184562835	3.52105083892198
7.09	0	-2	90.0000010505524	165.1617	285.1617	45.16174	0	exit undefined	75.161726854721	3.41644212976005
7.19	0	-2	90.0000010505524	162.9603	282.9603	42.9603	0	exit undefined	72.960295580307	3.31637707183213
7.3	0	-2	90.0000010505524	160.6132	280.6132	40.61322	0	exit undefined	70.6132191642913	3.20969178019506
7.4	0	-2	90.0000010505524	158.3823	278.3823	38.38226	0	exit undefined	68.3822621330413	3.10828464241097
7.5	0	-2	90.0000010505524	156.0374	276.0374	36.03745	0	exit undefined	66.037444017807	3.00170200080941
7.61	0	-2	90.0000010505524	153.7959	273.7959	33.7959	0	exit undefined	63.7958821281585	2.89981282400721
7.71	0	-2	90.0000010505524	151.5724	271.5724	31.57239	0	exit undefined	61.5723866447601	2.7987448474891
7.81	0	-2	90.0000010505524	149.2484	269.2484	29.24838	0	exit undefined	59.248381517807	2.69310825080941
7.91	0	-2	90.0000010505524	147.03	267.03	27.03003	0	exit undefined	57.0300129875335	2.59227331761516
8.02	0	-2	90.0000010505524	144.6865	264.6865	24.68652	0	exit undefined	54.6865376457366	2.48575171116985
8.12	0	-2	90.0000010505524	142.4548	262.4548	22.45477	0	exit undefined	52.4547718986663	2.38430781357574
8.22	0	-2	90.0000010505524	140.2025	260.2025	20.20251	0	exit undefined	50.2025288566741	2.28193312984883
8.32	0	-2	90.0000010505524	137.9628	257.9628	17.96283	0	exit undefined	47.9628285392913	2.18012856996779
8.43	0	-2	90.0000010505524	135.6281	255.6281	15.62808	0	exit undefined	45.6280812248382	2.0740036920381
8.53	0	-2	90.0000010505524	133.3677	253.3677	13.36772	0	exit undefined	43.3677205070648	1.9712600230484
8.63	0	-2	90.0000010505524	131.1381	251.1381	11.13812	0	exit undefined	41.1381215080413	1.86991461400188
8.74	0	-2	90.0000010505524	128.7989	248.7989	8.798859	0	exit undefined	38.7988575920257	1.76358443600117
8.85	0	-2	90.0000010505524	126.4928	246.4928	6.492783	0	exit undefined	36.492781542221	1.65876279737368
8.95	0	-2	90.0000010505524	124.1641	244.1641	4.164093	0	exit undefined	34.1640843376312	1.55291292443778
9.06	0	-2	90.0000010505524	121.8851	241.8851	1.885071	0	exit undefined	31.8850697502288	1.44932135228313
9.16	0	-2	90.0000010505524	119.562	239.562	359.562	0	exit undefined	29.5619725212249	1.34372602369204
9.27	0	-2	90.0000010505524	117.2465	237.2465	357.2465	0	exit undefined	27.2464665397796	1.23847575180816
9.37	0	-2	90.0000010505524	114.9264	234.9264	354.9264	0	exit undefined	24.9263905510101	1.13301775231864
9.48	0	-2	90.0000010505524	112.6018	232.6018	352.6018	0	exit undefined	22.6017903312835	1.02735410596743
9.58	0	-2	90.0000010505524	110.4006	230.4005	350.4005	0	exit undefined	20.4005497917327	0.927297717806034
9.68	0	-2	90.0000010505524	108.1144	228.1144	348.1144	0	exit undefined	18.1144474968109	0.823383977127767
9.79	0	-2	90.0000010505524	105.811	225.811	345.811	0	exit undefined	15.8110035881195	0.718681981278157
9.89	0	-2	90.0000010505524	103.4977	223.4977	343.4977	0	exit undefined	13.4977177604827	0.613532625476488
10	0	-2	90.0000010505524	101.208	221.208	341.208	0	exit undefined	11.2080296501312	0.509455893187781
10.1	0	-2	90.0000010505524	98.86311	218.8631	338.8631	0	exit undefined	8.8631123527679	0.402868743307632
10.21	0	-2	90.0000010505524	96.56528	216.5653	336.5653	0	exit undefined	6.56527604905696	0.298421638593498
10.31	0	-2	90.0000010505524	94.35425	214.3542	334.3542	0	exit undefined	4.35424699632259	0.197920318014663
10.42	0	-2	90.0000010505524	91.85855	211.8586	331.8586	0	exit undefined	1.85854997483821	0.0844795443108278
10.52	0	-2	90.0000010505524	89.56385	209.5638	329.5638	0	exit undefined	119.56384935228	5.43472042510362
